author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Yhome;real_estate_agent;https://www.cian.ru/sale/flat/303674535/;Москва;sale;flat;17;17;5;310.0;330000000;2022;-1;-1;-1;-1;-1;23 м²;+79660512975;Пресненский;Звенигородское шоссе;11;Улица 1905 года;Дизайнерский дом Eleven
РИЭЛТ ХАУС;real_estate_agent;https://www.cian.ru/sale/flat/305189029/;Москва;sale;flat;6;8;5;103.4;23900000;1958;-1;-1;-1;-1;77,6 м²;7,9 м²;+79166011203;Южнопортовый; Трофимова;29;Кожуховская;
А101;developer;https://www.cian.ru/sale/flat/306741594/;Москва;sale;flat;16;16;5;144.6;71218273;2025;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;55,9 м²;45,6 м²;+74951379043;Сокол; Зорге;25С2;Октябрьское поле;Дом на Зорге
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/258783641/;Москва;sale;flat;7;8;5;457.5;869326200;2007;-1;-1;-1;-1;300 м²;32 м²;+79660587093;Тверской;переулок Брюсов;19;Тверская;Брюсов 19
Sminex;developer;https://www.cian.ru/sale/flat/306154993/;Москва;sale;flat;22;23;5;272.7;418310000;2026;-1;Монолитный;-1;Без отделки;86,6 м²;55,1 м²;+74951375398;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/308386035/;Москва;sale;flat;13;16;5;111.5;28700000;1997;-1;-1;-1;-1;67,4 м²;17 м²;+79660549951;Бескудниковский;Бескудниковский бульвар;4;Верхние Лихоборы;
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305592711/;Москва;sale;flat;10;17;5;116.2;28900000;-1;-1;-1;-1;-1;76,5 м²;10,7 м²;+79671668161;Северный;Дмитровское шоссе;165Дк2;Физтех;
Денис Ложкин;realtor;https://www.cian.ru/sale/flat/297449703/;Москва;sale;flat;13;16;5;111.5;28700000;1997;-1;-1;-1;-1;68 м²;14 м²;+79160317846;Бескудниковский;Бескудниковский бульвар;4;;
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/300652064/;Москва;sale;flat;2;7;5;313.0;275900000;2001;-1;-1;-1;-1;190 м²;51 м²;+79856304679;Хамовники;7-й Ростовский переулок;11;Киевская;Дом в Ростовском переулке
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302778271/;Москва;sale;flat;8;9;5;160.0;280249910;1999;-1;-1;-1;-1;76 м²;15 м²;+79645387315;Пресненский;Тверской бульвар;16С5;Тверская;Тверской бульвар, 16
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290380821/;Москва;sale;flat;8;9;5;293.0;280000000;2006;-1;-1;-1;-1;234 м²;30 м²;+79645387315;Очаково-Матвеевское;Староволынская ;15к1;Матвеевская;Ближняя дача
Алла Захарова;realtor;https://www.cian.ru/sale/flat/300573687/;Москва;sale;flat;4;7;5;250.0;280000000;-1;-1;-1;-1;-1;233 м²;-1;+79801611289;Басманный;Подсосенский переулок;3к2;Курская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/304822370/;Москва;sale;flat;15;16;5;140.0;78000000;2001;-1;-1;-1;-1;56 м²;40 м²;+79161726022;Даниловский;Крутицкая набережная;19;Автозаводская;
ID 28128321;unknown;https://www.cian.ru/sale/flat/309028723/;Москва;sale;flat;4;7;5;309.9;175000000;1997;-1;-1;-1;-1;211,1 м²;17,9 м²;+79067944611;Раменки;Минская ;1А;Минская;Золотые Ключи 1
Top Realty;real_estate_agent;https://www.cian.ru/sale/flat/306312031/;Москва;sale;flat;10;20;5;208.5;178000000;-1;-1;-1;-1;-1;-1;31 м²;+79154365653;Пресненский;Мантулинская ;9к1;Деловой центр;City Park
