author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;150958800;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;28 м²;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679467/;Москва;sale;flat;4;20;2;64.29;24166611;2024;-1;-1;-1;-1;22,2 м²;19,9 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306451958/;Москва;sale;flat;3;12;2;37.0;9500000;-1;-1;-1;-1;-1;26 м²;6 м²;+79104832520;Западное Дегунино;Коровинское шоссе;9К1;Селигерская;
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Москва;sale;flat;5;21;2;110.6;108976392;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;34,6 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 10601;realtor;https://www.cian.ru/sale/flat/307801822/;Москва;sale;flat;5;5;2;42.3;28300000;-1;-1;-1;-1;-1;-1;6,5 м²;+79167838497;Тверской;Тверская ;27С1;Маяковская;
Сергей Черных;realtor;https://www.cian.ru/sale/flat/306445585/;Москва;sale;flat;4;12;2;40.0;14600000;1969;-1;-1;-1;-1;23,8 м²;6,7 м²;+79660642719;Очаково-Матвеевское;Очаковское шоссе;4К2;Аминьевская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040441/;Москва;sale;flat;4;6;2;102.7;114715900;2017;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, черновая;37,6 м²;27,1 м²;+74951387060;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Москва;sale;flat;8;29;2;69.1;31095000;-1;-1;-1;-1;-1;-1;28,7 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300539730/;Москва;sale;flat;2;6;2;63.0;35990000;1931;-1;-1;-1;-1;40 м²;13 м²;+79660548113;Басманный;Чистопрудный бульвар;12К2;Чистые пруды;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259741/;Москва;sale;flat;24;42;2;43.0;21606000;2023;-1;Монолитный;-1;Без отделки, предчистовая;15 м²;-1;+74951387129;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
