author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Дипломат;developer;https://krym.cian.ru/sale/flat/292125018/;Апрелевка;sale;flat;2;8;2;66.0;22622160;2015;-1;-1;-1;Чистовая;50 м²;-1;+78632098730;;;;;Резиденция Дипломат
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553708/;Апрелевка;sale;flat;9;12;2;88.0;59350000;-1;-1;-1;-1;-1;-1;10 м²;+79057198567;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679467/;Апрелевка;sale;flat;4;20;2;64.29;24166611;2024;-1;-1;-1;-1;22,2 м²;19,9 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/308884460/;Апрелевка;sale;flat;2;20;2;46.3;18983000;2026;-1;Монолитный;-1;Предчистовая, чистовая;28,4 м²;4,8 м²;+78632251846;;;;;Новая Ливадия
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553460/;Апрелевка;sale;flat;9;12;2;99.0;96750000;-1;-1;-1;-1;-1;-1;10 м²;+79057198567;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306566143/;Апрелевка;sale;flat;6;7;2;96.0;260000000;-1;-1;-1;-1;-1;-1;10 м²;+79855162121;Хамовники; Льва Толстого;23к7с3;Парк Культуры;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302445049/;Апрелевка;sale;flat;2;10;2;33.0;31491900;2025;-1;-1;-1;Без отделки;25,7 м²;-1;+78612690121;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Апрелевка;sale;flat;8;29;2;69.1;31095000;-1;-1;-1;-1;-1;-1;28,7 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308907059/;Апрелевка;sale;flat;10;32;2;64.4;51000000;2023;-1;-1;-1;-1;-1;-1;+79165921998;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Интеллект;developer;https://krym.cian.ru/sale/flat/306043753/;Апрелевка;sale;flat;5;13;2;36.33;12249111;2027;-1;-1;-1;Черновая;-1;-1;+78632251908;;;;;Парковая Резиденция
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/309003049/;Апрелевка;sale;flat;4;11;2;67.31;72000000;2020;-1;-1;-1;-1;-1;-1;+79153257493;Дорогомилово;;3к3;Парк Победы;Виктори Парк Резиденсез ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308907057/;Апрелевка;sale;flat;5;21;2;64.76;68500000;2021;-1;-1;-1;-1;-1;-1;+79623648720;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540476/;Апрелевка;sale;flat;2;16;2;64.3;6751500;2024;-1;Монолитно-кирпичный;-1;Предчистовая, черновая;-1;-1;+78612058407;Прикубанский; Западный обход;65/1;;Cармат
ID 85604823;unknown;https://www.cian.ru/sale/flat/308497818/;Апрелевка;sale;flat;16;41;2;51.0;34000000;2023;-1;-1;-1;-1;21 м²;17 м²;+79647714670;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Апрелевка;sale;flat;5;6;2;43.0;26900000;2016;-1;-1;-1;-1;-1;-1;+79197672046;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Интеллект;developer;https://krym.cian.ru/sale/flat/291497607/;Апрелевка;sale;flat;2;20;2;49.18;12718487;2026;-1;Монолитно-кирпичный, кирпичный;-1;Без отделки, предчистовая;-1;-1;+78633035137;;;;;Крымская Резиденция
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Апрелевка;sale;flat;2;21;2;57.23;59000000;2023;-1;-1;-1;-1;-1;7 м²;+79660544755;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307822693/;Апрелевка;sale;flat;9;18;2;66.4;69700000;2026;-1;-1;-1;-1;-1;10 м²;+79645660140;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
НВМ;developer;https://krasnodar.cian.ru/sale/flat/307997253/;Апрелевка;sale;flat;2;18;2;51.71;7756500;2027;-1;Монолитно-кирпичный;-1;Предчистовая;23,3 м²;-1;+78612058375;;;;;Народные Кварталы
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Апрелевка;sale;flat;7;9;2;108.3;154000000;2023;-1;-1;-1;-1;-1;10 м²;+79660272578;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679729/;Апрелевка;sale;flat;9;20;2;59.0;25370000;2024;-1;-1;-1;-1;24,1 м²;20,1 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
Перспектива;developer;https://krym.cian.ru/sale/flat/305496512/;Апрелевка;sale;flat;3;8;2;76.9;23000000;2022;-1;Монолитный;-1;Без отделки, черновая, чистовая;40,1 м²;-1;+78632098606;Восход пгт; Наташинская;2Ж;;Монако
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/307103955/;Апрелевка;sale;flat;24;24;2;58.0;37490000;-1;-1;-1;-1;-1;36 м²;12 м²;+79854281089;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
Екатерина Сухий;realtor;https://www.cian.ru/sale/flat/308360046/;Апрелевка;sale;flat;4;9;2;43.1;28700000;1963;-1;-1;-1;-1;25 м²;6 м²;+79197267972;Аэропорт;Ленинградский проспект;54/1;Аэропорт;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/306297919/;Апрелевка;sale;flat;2;18;2;49.5;7730000;2026;-1;-1;-1;Без отделки;30,4 м²;5,1 м²;+73432261752;Верх-Исетский;;;Площадь 1905 года;Русь XXI ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/307575540/;Апрелевка;sale;flat;4;21;2;54.0;58000000;2023;-1;-1;-1;-1;30 м²;12 м²;+79801202623;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301763282/;Апрелевка;sale;flat;39;41;2;56.9;40000000;-1;-1;-1;-1;-1;32,6 м²;6,5 м²;+79646331510;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Эталон;developer;https://ekb.cian.ru/sale/flat/308412109/;Апрелевка;sale;flat;3;5;2;40.69;5821699;2028;-1;Монолитно-кирпичный;-1;Предчистовая;20 м²;8,6 м²;+73432260955;;;;;Балтым-Парк
Залму Писарук;realtor;https://www.cian.ru/sale/flat/308532820/;Апрелевка;sale;flat;7;12;2;55.0;13400000;1974;-1;-1;-1;-1;31 м²;9 м²;+79645651875;Бирюлево Восточное;Лебедянская ;4;;
СК10;developer;https://rostov.cian.ru/sale/flat/289997272/;Апрелевка;sale;flat;19;25;2;38.54;5140000;2025;-1;-1;-1;Чистовая;28,6 м²;-1;+78632251192;Советский;;;;Малина парк
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/305791387/;Апрелевка;sale;flat;6;23;2;52.3;6892000;2027;-1;-1;-1;Без отделки;19,3 м²;14,1 м²;+73432261635;Кировский;;;Машиностроителей;Основинские кварталы ЖК
