author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/306599723/;Москва;sale;flat;9;9;-1;31.2;58640400;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307796815/;Москва;sale;flat;1;3;-1;24.1;14460000;1914;-1;-1;-1;-1;16,1 м²;3 м²;+79660512042;Арбат;Шубинский переулок;7;Смоленская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/307328832/;Москва;sale;flat;13;27;1;29.6;16901600;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;12,5 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
ID 85604823;unknown;https://www.cian.ru/sale/flat/307610760/;Москва;sale;flat;3;15;1;30.0;18250000;2019;-1;-1;-1;-1;15 м²;6 м²;+79647714670;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
MR Group;developer;https://www.cian.ru/sale/flat/303148951/;Москва;sale;flat;3;36;1;27.12;18462497;2025;-1;Монолитный;-1;Предчистовая, чистовая;15 м²;-1;+74951374843;Савеловский;;;Дмитровская;Симфония 34 ЖК
DOLGOV PRO;real_estate_agent;https://www.cian.ru/sale/flat/294355446/;Москва;sale;flat;10;14;1;28.7;17900000;2023;-1;-1;-1;-1;19,5 м²;1 м²;+79104159071;Лефортово;проезд Шелихова;3;Площадь Ильича;Символ
Среда;developer;https://www.cian.ru/sale/flat/304774967/;Москва;sale;flat;4;44;1;23.03;11704997;2027;-1;Монолитный;-1;Без отделки, предчистовая;13,2 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
Алексей Рыбаков;realtor;https://www.cian.ru/sale/flat/308599377/;Москва;sale;flat;2;5;1;15.8;6794000;1956;-1;-1;-1;-1;13,2 м²;-1;+79162437862;Головинский;Солнечногорская ;7к1;Моссельмаш;
MR Group;developer;https://www.cian.ru/sale/flat/307413632/;Москва;sale;flat;2;21;1;22.9;12521949;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;12,6 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Алексей Рыбаков;realtor;https://www.cian.ru/sale/flat/295047035/;Москва;sale;flat;4;5;1;15.5;6530000;1958;-1;-1;-1;-1;13,3 м²;-1;+79162437862;Головинский;Солнечногорская ;7к1;Моссельмаш;
Донстрой;developer;https://www.cian.ru/sale/flat/307351227/;Москва;sale;flat;3;21;1;24.6;13677600;2027;-1;Монолитный;-1;Без отделки, чистовая, чистовая с мебелью;10 м²;4,4 м²;+74951387018;Лефортово;;;Площадь Ильича;Символ ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301612021/;Москва;sale;flat;5;10;-1;24.6;10000000;2015;-1;-1;-1;-1;15 м²;5 м²;+79169862459;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
Sminex;developer;https://www.cian.ru/sale/flat/308620514/;Москва;sale;flat;20;21;1;25.21;19850000;2024;-1;Монолитный;-1;Без отделки;10 м²;6,8 м²;+74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307182224/;Москва;sale;flat;11;14;1;35.5;21500000;1976;-1;-1;-1;-1;21 м²;-1;+79160162374;Хамовники;Большой Саввинский переулок;10С1;Киевская;
MR Group;developer;https://www.cian.ru/sale/flat/306610091/;Москва;sale;flat;8;59;1;20.6;;2028;-1;-1;-1;Предчистовая;14,2 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308201867/;Москва;sale;flat;8;23;1;29.3;14900000;-1;-1;-1;-1;-1;12 м²;-1;+79854281089;Хорошево-Мневники; Нижние Мневники;16к4;Мнёвники;Остров
MR Group;developer;https://www.cian.ru/sale/flat/306603345/;Москва;sale;flat;21;36;1;29.3;26272255;2027;-1;Монолитный;-1;Без отделки;-1;-1;+74951378819;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
