author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308711129/;Москва;sale;flat;9;21;3;117.0;115000000;2023;-1;-1;-1;-1;-1;10 м²;+79645660140;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/298973372/;Москва;sale;flat;14;36;3;96.0;56000000;2018;-1;-1;-1;-1;33 м²;40 м²;+79645504947;Хорошево-Мневники;Шелепихинская набережная;34к2;Шелепиха;Сердце Столицы
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304149603/;Москва;sale;flat;65;66;3;85.8;84942000;2020;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370624;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Yhome;real_estate_agent;https://www.cian.ru/sale/flat/308955512/;Москва;sale;flat;5;21;3;117.0;115000000;2023;-1;-1;-1;-1;-1;47 м²;+79670751821;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299927735/;Москва;sale;flat;2;6;3;80.0;82000000;2019;-1;-1;-1;-1;-1;-1;+79646289440;Замоскворечье;Большой Ордынский переулок;4С4;Третьяковская;Собрание клубных домов ORDYNKA
Среда;developer;https://www.cian.ru/sale/flat/303859420/;Москва;sale;flat;3;13;3;71.3;24567484;2027;-1;Монолитный;-1;Предчистовая;47,6 м²;-1;+74997154155;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/303016439/;Москва;sale;flat;4;5;3;150.8;195000000;-1;-1;-1;-1;-1;131,8 м²;14 м²;+79651093606;Пресненский;Леонтьевский переулок;11;Тверская;Леонтьевский 11
Юлия Мамаева;realtor;https://www.cian.ru/sale/flat/305391005/;Москва;sale;flat;4;9;3;70.0;32000000;1960;-1;-1;-1;-1;-1;10 м²;+79660631563;Ломоносовский;Ленинский проспект;89/2;Новаторская;
Capital Group;developer;https://www.cian.ru/sale/flat/300285577/;Москва;sale;flat;4;30;3;142.8;56000000;2020;-1;-1;-1;Без отделки;-1;-1;+74951377286;Якиманка;Мытная ;40к1;Серпуховская;Sky House
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308346343/;Москва;sale;flat;19;22;3;114.7;63500000;2008;-1;-1;-1;-1;83 м²;20 м²;+79091526681;Донской; Вавилова;2;Ленинский проспект;Нескучный сад
Антон Ермолаев;realtor;https://www.cian.ru/sale/flat/308239535/;Москва;sale;flat;16;67;3;115.4;135000000;2025;-1;-1;-1;Чистовая;-1;-1;+79191049356;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити;Capital Towers
КРОСТ;developer;https://www.cian.ru/sale/flat/296745463/;Москва;sale;flat;22;28;3;78.2;31905600;2026;-1;Монолитный;-1;Без отделки;24,7 м²;17,4 м²;+74997153994;Хорошево-Мневники; Генерала Глаголева;;Народное Ополчение;CRYSTAL Трилогия
Самолет Плюс МСК-Север;real_estate_agent;https://www.cian.ru/sale/flat/307800346/;Москва;sale;flat;4;11;3;97.5;36900000;-1;-1;-1;-1;-1;46,7 м²;20,2 м²;+79652557357;Даниловский;набережная Марка Шагала;23;ЗИЛ;Shagal
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/306661276/;Москва;sale;flat;23;34;3;59.2;37300000;2023;-1;-1;-1;-1;25 м²;16 м²;+79104001266;Обручевский; Архитектора Власова;71к2;Воронцовская;Ever
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/306153781/;Москва;sale;flat;9;9;3;101.0;103000000;-1;-1;-1;-1;-1;84 м²;12 м²;+79660615407;Можайский; Вересаева;9;Давыдково;Аристократ
Стрелецкая Слобода;developer;https://www.cian.ru/sale/flat/294641853/;Москва;sale;flat;6;8;3;118.6;155959000;2023;-1;Монолитно-кирпичный;-1;Без отделки, черновая;-1;-1;+74951387186;Таганский;Тессинский переулок;1;Китай-город;Тессинский, 1
BERI;real_estate_agent;https://www.cian.ru/sale/flat/306370383/;Москва;sale;flat;9;12;3;61.0;14890000;1973;-1;-1;-1;-1;42,3 м²;6 м²;+79629657451;Выхино-Жулебино;Ферганская ;9К1;Юго-Восточная;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/301184664/;Москва;sale;flat;4;9;3;55.6;14990000;1966;-1;-1;-1;-1;37,6 м²;5,6 м²;+79857048937;Коньково;Миклухо-Маклая ;29К1;Беляево;
PRO ОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/306897435/;Москва;sale;flat;4;9;3;60.0;15000000;1969;-1;-1;-1;-1;-1;6 м²;+79857793272;Алтуфьевский;Путевой проезд;38;Бескудниково;
Эксклюзив Хоум;real_estate_agent;https://www.cian.ru/sale/flat/307151151/;Москва;sale;flat;3;20;3;82.6;14990000;2019;-1;-1;-1;-1;51,4 м²;10 м²;+79152327818;Бирюлево Восточное;6-я Радиальная ;7/1к1;Царицыно;Царицыно-2
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/307579111/;Москва;sale;flat;2;9;3;60.0;15000000;-1;-1;-1;-1;-1;44 м²;6 м²;+79645659943;Чертаново Центральное;Днепропетровская ;27к1;Южная;
Ярославна Слинько;realtor;https://www.cian.ru/sale/flat/306968615/;Москва;sale;flat;27;28;3;113.2;54900000;2021;-1;-1;-1;-1;-1;25 м²;+79100007251;Лефортово;проезд Невельского;1к1;Авиамоторная;Символ
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/306043652/;Москва;sale;flat;16;23;3;83.9;54999000;2020;-1;-1;-1;-1;42 м²;26 м²;+79652445197;Свиблово;Сельскохозяйственная ;38к1;Ботанический сад;LIFE-Ботанический сад
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/305375375/;Москва;sale;flat;11;13;3;141.3;98000000;2016;-1;-1;-1;-1;-1;20,8 м²;+79660641529;Пресненский;Большая Садовая ;5к1;Маяковская;Квартал апартаментов Сады Пекина
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/308639465/;Москва;sale;flat;4;4;3;178.3;99000000;-1;-1;-1;-1;-1;-1;6 м²;+79154666852;Пресненский;Большой Козихинский переулок;10;Пушкинская;
Лобстер Групп;real_estate_agent;https://www.cian.ru/sale/flat/306682679/;Москва;sale;flat;43;43;3;167.0;99900000;2025;-1;-1;-1;Без отделки;-1;40 м²;+79855838790;Хорошево-Мневники;к5/2;к5/2;Шелепиха;Сидней Сити ЖК
