author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Дипломат;developer;https://krym.cian.ru/sale/flat/292125110/;Апрелевка;sale;flat;2;8;3;133.1;58564000;2015;-1;-1;-1;Чистовая;84,7 м²;-1;+78632098730;;;;;Резиденция Дипломат
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Апрелевка;sale;flat;10;20;3;110.7;122000000;-1;-1;-1;-1;-1;65 м²;25 м²;+79856120994;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
SPB Housing;real_estate_agent;https://spb.cian.ru/sale/flat/301980497/;Апрелевка;sale;flat;3;8;3;119.4;39402000;2007;-1;-1;-1;-1;63 м²;17 м²;+79052308424;Петроградский; Графтио;5;Петроградская;
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/288981901/;Апрелевка;sale;flat;2;20;3;72.75;29100000;2026;-1;Монолитный;-1;Предчистовая, чистовая;34,6 м²;17,3 м²;+78632251846;;;;;Новая Ливадия
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Апрелевка;sale;flat;2;10;3;115.0;101000000;2008;-1;-1;-1;-1;-1;45 м²;+79197672046;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/308927633/;Апрелевка;sale;flat;8;9;3;61.0;27000000;1968;-1;-1;-1;-1;-1;7 м²;+79164642528;Аэропорт; Усиевича;25К1;Сокол;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302445478/;Апрелевка;sale;flat;2;10;3;50.2;50998180;2025;-1;-1;-1;Чистовая;35,9 м²;-1;+78612690121;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Апрелевка;sale;flat;2;12;3;106.2;53000000;2005;-1;-1;-1;-1;60 м²;16 м²;+79660274811;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308568986/;Апрелевка;sale;flat;5;9;3;59.0;23950000;1970;-1;-1;-1;-1;42,2 м²;6,7 м²;+79099114698;Раменки;Винницкая ;17;Раменки;
Интеллект;developer;https://krym.cian.ru/sale/flat/295983929/;Апрелевка;sale;flat;4;13;3;57.19;18279349;2027;-1;-1;-1;Черновая;-1;-1;+78632251908;;;;;Парковая Резиденция
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Апрелевка;sale;flat;11;20;3;87.02;32910964;2024;-1;-1;-1;-1;39,1 м²;34,3 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
ID 85529538;homeowner;https://www.cian.ru/sale/flat/308928418/;Апрелевка;sale;flat;14;25;3;109.4;47750000;2017;-1;-1;-1;-1;-1;12,2 м²;+79165874739;Раменки; Лобачевского;118к2;Аминьевская;Лобачевский
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540479/;Апрелевка;sale;flat;2;16;3;85.0;8330000;2024;-1;Монолитно-кирпичный;-1;Предчистовая, черновая;-1;-1;+78612058407;Прикубанский; Западный обход;65/1;;Cармат
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Апрелевка;sale;flat;35;41;3;97.4;95000000;-1;-1;-1;-1;-1;69 м²;7,3 м²;+79646331510;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308038194/;Апрелевка;sale;flat;8;12;3;65.7;26610000;1973;-1;-1;-1;-1;44 м²;7,3 м²;+79099114698;Раменки;Мичуринский проспект;54К2;Раменки;
Интеллект;developer;https://krym.cian.ru/sale/flat/306356333/;Апрелевка;sale;flat;7;20;3;67.58;19460266;2026;-1;Монолитно-кирпичный, кирпичный;-1;Без отделки, предчистовая;-1;-1;+78633035137;;;;;Крымская Резиденция
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308907053/;Апрелевка;sale;flat;7;14;3;206.0;289913700;-1;-1;-1;-1;-1;-1;-1;+79653590192;Арбат;Малый Новопесковский переулок;8;Смоленская;Дом на Смоленской набережной
НВМ;developer;https://krasnodar.cian.ru/sale/flat/307996512/;Апрелевка;sale;flat;7;18;3;67.38;9096300;2028;-1;Монолитно-кирпичный;-1;Предчистовая;37,8 м²;-1;+78612058375;;;;;Народные Кварталы
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296710178/;Апрелевка;sale;flat;22;31;3;83.0;52000000;2022;-1;-1;-1;-1;-1;-1;+79154194704;Раменки; Лобачевского;120к1;Аминьевская;Крылья
