author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Альянс;developer;https://rostov.cian.ru/sale/flat/307532692/;Апрелевка;sale;flat;2;7;4;189.95;68382000;2026;-1;-1;-1;Неизвестно;91,2 м²;22,6 м²;+78633224914;Кировский;Социалистическая ;118;;Дом-резиденция Собрание
ID 12847903;homeowner;https://spb.cian.ru/sale/flat/308691921/;Апрелевка;sale;flat;3;12;4;140.6;22222222;2012;-1;-1;-1;-1;85 м²;25 м²;+79692032976;; Ленинградская;3;Улица Дыбенко;Новый Оккервиль
Edelweiss;developer;https://vladivostok.cian.ru/sale/flat/301634167/;Апрелевка;sale;flat;19;22;4;156.4;70680000;2027;-1;Монолитно-кирпичный;-1;Без отделки;56,9 м²;35,3 м²;+74232023496;Первомайский;Кизлярская ;;;Edelweiss Золотой Рог
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/298983974/;Апрелевка;sale;flat;2;7;4;250.0;97000000;-1;-1;-1;-1;-1;123 м²;30 м²;+79858630545;Крылатское;Крылатская ;45К4;Крылатское;Долина грез
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/295028502/;Апрелевка;sale;flat;2;4;4;108.59;13682340;2025;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;57,3 м²;7,3 м²;+78432085079;с. Усады; Радужная;;;Новый свет
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/302801154/;Апрелевка;sale;flat;11;11;4;179.2;104000000;2022;-1;-1;-1;-1;-1;15 м²;+79166739622;Басманный;Старая Басманная ;10С5;Курская;KAZAKOV Grand Loft
Железно;developer;https://ekb.cian.ru/sale/flat/307319169/;Апрелевка;sale;flat;6;7;4;107.0;12926235;2025;-1;Монолитно-кирпичный, кирпичный;-1;Предчистовая, чистовая;63 м²;-1;+73432267491;;;;Чкаловская;Лес ЖК
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302535803/;Апрелевка;sale;flat;8;9;4;150.0;231523500;2020;-1;-1;-1;-1;-1;40 м²;+79639769503;Раменки;Мосфильмовская ;1к9;Ломоносовский проспект;Вишневый сад
ASTERUS;developer;https://www.cian.ru/sale/flat/308481168/;Апрелевка;sale;flat;7;14;4;107.8;46885273;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;59,9 м²;14,3 м²;+74951387034;Покровское-Стрешнево;;;Спартак;Алиа ЖК
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301945082/;Апрелевка;sale;flat;4;6;4;231.1;462200000;2017;-1;-1;-1;-1;137 м²;-1;+79165760980;Хамовники;Курсовой переулок;10/1;Кропоткинская;Nabokov
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/306063188/;Апрелевка;sale;flat;4;9;4;150.4;52640000;2026;-1;Монолитный;-1;Без отделки;60,3 м²;11 м²;+78432023629;Советский;;;Суконная слобода;Мифы ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307548032/;Апрелевка;sale;flat;2;6;4;162.1;96500000;2005;-1;-1;-1;-1;-1;20 м²;+79168080401;Покровское-Стрешнево;Береговая ;4К5;Стрешнево;Покровский берег
FORMA;developer;https://www.cian.ru/sale/flat/308009185/;Апрелевка;sale;flat;14;30;4;93.8;31933459;2027;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;61,7 м²;-1;+74951379136;Щукино;проезд 4-й Красногорский;3;Стрешнево;Moments
NF Group Country - ex-Knight Frank Russia;real_estate_agent;https://odintsovo.cian.ru/sale/flat/303199796/;Апрелевка;sale;flat;5;5;4;228.0;140000000;-1;-1;-1;-1;-1;-1;-1;+79169546424;;;;;Жуковка Шале
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/305886264/;Апрелевка;sale;flat;18;25;4;83.7;16376742;2022;-1;Панельный, монолитный;-1;Предчистовая, чистовая;54,9 м²;6,1 м²;+74951377003;; Рождественская;4;Люберцы;1-й Лермонтовский
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300005780/;Апрелевка;sale;flat;20;22;4;200.0;148900000;2019;-1;-1;-1;-1;-1;36,8 м²;+79637877048;Хорошево-Мневники;Живописная ;21А;Серебряный Бор;
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/294660820/;Апрелевка;sale;flat;3;16;4;109.16;24812068;2025;-1;Монолитный;-1;Без отделки, предчистовая, черновая;55,4 м²;26,6 м²;+78122133747;Василеостровский;Гавань;;Приморская;Морская Набережная ЖК
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308068106/;Апрелевка;sale;flat;8;9;4;144.0;180000000;2020;-1;-1;-1;-1;90 м²;-1;+79629772459;Раменки;Мосфильмовская ;1к6;Ломоносовский проспект;Вишневый сад
Основа;developer;https://www.cian.ru/sale/flat/304388508/;Апрелевка;sale;flat;26;36;4;92.8;27654400;2026;-1;Монолитный;-1;Без отделки, предчистовая, черновая;75,2 м²;12,6 м²;+74951346369;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/302627595/;Апрелевка;sale;flat;4;6;4;231.1;462200000;-1;-1;-1;-1;-1;-1;-1;+79162094601;Хамовники;Курсовой переулок;10/1;Кропоткинская;Nabokov
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304058798/;Апрелевка;sale;flat;8;17;4;108.6;24370396;2026;-1;Панельный, монолитный;-1;Без отделки, чистовая;59,2 м²;-1;+74993896306;;;;Мичуринец;Переделкино Ближнее Город-парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/303619557/;Апрелевка;sale;flat;9;16;4;120.0;52900000;2004;-1;-1;-1;-1;-1;10 м²;+79057198567;Коньково; Островитянова;11К1;Коньково;
А101;developer;https://www.cian.ru/sale/flat/306742725/;Апрелевка;sale;flat;15;17;4;66.5;16965015;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;43,5 м²;17,4 м²;+74951387175;;;к11.2.2;Прокшино;Прокшино ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307714148/;Апрелевка;sale;flat;47;52;4;109.2;55000000;-1;-1;-1;-1;-1;60,5 м²;19,3 м²;+79853836287;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
BrokerStreet;representative_developer;https://kaliningrad.cian.ru/sale/flat/290325244/;Апрелевка;sale;flat;10;14;4;117.3;21114000;2023;-1;-1;-1;Неизвестно;-1;-1;+74012200841;Ленинградский; Молодой Гвардии;34к3;;Русская Европа
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307221415/;Апрелевка;sale;flat;5;21;4;124.0;69000000;2014;-1;-1;-1;-1;78 м²;10 м²;+79031473833;Раменки;Мичуринский проспект;26;Раменки;
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/306495795/;Апрелевка;sale;flat;5;8;4;85.66;6355972;2023;-1;-1;-1;Чистовая;-1;23,9 м²;+78612059644;пос. Березовый; Имени Профессора Малигонова;42;;Молодежный 2
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307552315/;Апрелевка;sale;flat;5;6;4;95.0;69500000;1910;-1;-1;-1;-1;-1;13,6 м²;+79684858420;Арбат; Арбат;47/23;Смоленская;
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/291733228/;Апрелевка;sale;flat;2;7;4;161.6;265500000;1913;-1;-1;-1;-1;115 м²;14 м²;+79660587093;Арбат; Малая Молчановка;8;Арбатская;
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/307710284/;Апрелевка;sale;flat;3;8;4;131.6;165000000;-1;-1;-1;-1;-1;-1;14 м²;+79154666852;Замоскворечье; Малая Ордынка;19;Третьяковская;Малая Ордынка 19
Forma;developer;https://www.cian.ru/sale/flat/308937747/;Апрелевка;sale;flat;3;29;4;111.4;44817111;2028;-1;Монолитный;-1;Без отделки, предчистовая;49,1 м²;-1;+74951378427;Печатники;;;Нагатинский Затон;Портлэнд ЖК
